iter	Logloss
0	0.6261974001
1	0.5674397446
2	0.5183062228
3	0.4771884301
4	0.4424647901
5	0.4148535979
6	0.3884508991
7	0.3657771749
8	0.3479543959
9	0.3304600518
10	0.315406283
11	0.3025773836
12	0.2917457544
13	0.2819849709
14	0.2733304113
15	0.2645148928
16	0.258559389
17	0.2532943449
18	0.2481142402
19	0.2434163211
20	0.2382795721
21	0.2336290756
22	0.2299392836
23	0.2260770011
24	0.2226998198
25	0.2198629953
26	0.2165822111
27	0.2144109066
28	0.212502714
29	0.2106015362
30	0.2085431576
31	0.2067612591
32	0.204590038
33	0.2031024771
34	0.2014550371
35	0.2000922602
36	0.1984323415
37	0.196813111
38	0.1954806921
39	0.1944312987
40	0.1928943257
41	0.191398169
42	0.1902653718
43	0.1892183916
44	0.1880469806
45	0.1872109836
46	0.1860254525
47	0.1847899223
48	0.1836251992
49	0.1828324592
50	0.1824551461
51	0.1813488948
52	0.1803281641
53	0.1796329613
54	0.1788489533
55	0.1778157562
56	0.1771644066
57	0.1763035533
58	0.175694637
59	0.1751346261
60	0.1743438276
61	0.1736049068
62	0.1729843754
63	0.1723084678
64	0.1717101363
65	0.1713294108
66	0.1707871126
67	0.170149297
68	0.1696066856
69	0.1691861714
70	0.1686000904
71	0.1681428206
72	0.1678370368
73	0.1671105794
74	0.1665082008
75	0.1658605194
76	0.1653452351
77	0.1650326307
78	0.1647048141
79	0.1642299988
80	0.1638541757
81	0.1633708364
82	0.1630256443
83	0.1626222255
84	0.1622433736
85	0.1618736657
86	0.1614732689
87	0.1611703946
88	0.1609607951
89	0.1604351975
90	0.1601796958
91	0.1596678636
92	0.1593058034
93	0.1590556042
94	0.1588166889
95	0.1586278411
96	0.1582699626
97	0.1579443233
98	0.15754072
99	0.1572657912
100	0.1569045256
101	0.1564745211
102	0.155890808
103	0.1553422648
104	0.1550074764
105	0.1546059802
106	0.154258785
107	0.1539429308
108	0.1535639819
109	0.1531437274
110	0.1528373685
111	0.1524677305
112	0.1520677649
113	0.1518110595
114	0.1514988177
115	0.1512028132
116	0.150907628
117	0.1507679677
118	0.1503588911
119	0.1500087014
120	0.1496334571
121	0.1494485099
122	0.149259412
123	0.1489136406
124	0.1485738807
125	0.1482747056
126	0.1481518007
127	0.14776864
128	0.1474451102
129	0.1471446187
130	0.1469425744
131	0.1466969028
132	0.146390404
133	0.1462245821
134	0.1459776757
135	0.1456550496
136	0.1453151822
137	0.1451218763
138	0.1449962823
139	0.1447595619
140	0.1443926188
141	0.1441242445
142	0.1438925543
143	0.1438027842
144	0.1436577861
145	0.1433861261
146	0.1431422237
147	0.1428629925
148	0.1425668955
149	0.1422774678
150	0.1419130228
151	0.1417226418
152	0.1414505981
153	0.1413117212
154	0.1411751473
155	0.1408438488
156	0.140651626
157	0.1403462731
158	0.1399732204
159	0.1397416182
160	0.1394684878
161	0.1391682162
162	0.1390875452
163	0.1388547748
164	0.1386801145
165	0.1384045477
166	0.1381087096
167	0.1378741632
168	0.1375457151
169	0.1373021377
170	0.1370727725
171	0.1369503733
172	0.1366606662
173	0.1363145495
174	0.136122957
175	0.1360118992
176	0.1356809881
177	0.1355768766
178	0.1353187974
179	0.1349453895
180	0.1346788264
181	0.1345168196
182	0.1342891092
183	0.1340962719
184	0.133846599
185	0.1334954624
186	0.1332114881
187	0.1329693061
188	0.1326563768
189	0.1324702758
190	0.1322658473
191	0.1320822826
192	0.1318921114
193	0.1318022254
194	0.1315296812
195	0.1313236997
196	0.1311452494
197	0.1310137489
198	0.1307936797
199	0.1306071988
200	0.1302789401
201	0.13010229
202	0.1298657047
203	0.1296552419
204	0.1294305095
205	0.1292199314
206	0.1289425037
207	0.1287271268
208	0.1285343319
209	0.1282759021
210	0.1279156613
211	0.1276064518
212	0.1273106091
213	0.1270054561
214	0.1268324076
215	0.1266425997
216	0.1265522959
217	0.1262534647
218	0.1260405944
219	0.125862071
220	0.1255763188
221	0.125443803
222	0.1252440564
223	0.1250367541
224	0.1247978007
225	0.1245849121
226	0.1243093151
227	0.1240466537
228	0.1239749637
229	0.1236920189
230	0.1235389457
231	0.1233921176
232	0.1230395025
233	0.1228648976
234	0.1226996514
235	0.1225168281
236	0.1223302565
237	0.1221086395
238	0.1218096413
239	0.1215721784
240	0.1213917892
241	0.1211838166
242	0.1210591158
243	0.1208068162
244	0.1205910171
245	0.1203553084
246	0.1201847299
247	0.1199385245
248	0.119785495
249	0.1195547823
250	0.1193175108
251	0.119119407
252	0.1189270812
253	0.1186973636
254	0.1185048675
255	0.1183735684
256	0.1181514086
257	0.1180466248
258	0.1178958495
259	0.1177048894
260	0.1175441528
261	0.1173675505
262	0.1171415852
263	0.1169893701
264	0.1168884681
265	0.1166777187
266	0.1165135112
267	0.1163290986
268	0.1160851579
269	0.1159208806
270	0.1158107412
271	0.1156230788
272	0.1154789486
273	0.1153130107
274	0.1152148697
275	0.1150515761
276	0.1149356207
277	0.1147644207
278	0.1146050009
279	0.1144217499
280	0.1142723341
281	0.1140618282
282	0.1139289876
283	0.1137925554
284	0.1136645204
285	0.1134819712
286	0.1133233612
287	0.1132116878
288	0.1130339529
289	0.1128058451
290	0.1127044759
291	0.1125048878
292	0.1123549618
293	0.1121829334
294	0.1120778365
295	0.1120088846
296	0.1118828163
297	0.1117616417
298	0.1115824897
299	0.1114565667
300	0.1112898197
301	0.1111251987
302	0.1109766682
303	0.1108806773
304	0.1108064049
305	0.1106798266
306	0.1105013346
307	0.1103889259
308	0.1102768971
309	0.1101089094
310	0.1099729945
311	0.1098262681
312	0.1097337519
313	0.1095672888
314	0.1093868585
315	0.1092448169
316	0.1091558868
317	0.1090020241
318	0.1088724825
319	0.1087382654
320	0.1086263956
321	0.1085679661
322	0.1083683319
323	0.1082638984
324	0.1081190965
325	0.107974461
326	0.1078298928
327	0.1076934163
328	0.1075717221
329	0.1074623894
330	0.1073825813
331	0.1072894351
332	0.107213261
333	0.107115108
334	0.1069942557
335	0.1068900585
336	0.106731649
337	0.1066123844
338	0.1064424753
339	0.106299953
340	0.106136006
341	0.1060121992
342	0.1059222337
343	0.1058043812
344	0.1057015792
345	0.1055742246
346	0.1055197356
347	0.1053529589
348	0.105252106
349	0.1051986152
350	0.1050777579
351	0.1049497443
352	0.1048068149
353	0.1046974107
354	0.1045478435
355	0.1043982886
356	0.1042458302
357	0.1041900448
358	0.104007282
359	0.1038695317
360	0.1037888964
361	0.1036911607
362	0.1035041631
363	0.1033601422
364	0.1033034384
365	0.1031159763
366	0.1029665919
367	0.1028982924
368	0.1028124
369	0.1027609466
370	0.1027115015
371	0.1025933618
372	0.1024310446
373	0.1022370743
374	0.1020904598
375	0.1019557134
376	0.1018746416
377	0.1017111285
378	0.1016071179
379	0.1015736068
380	0.1014564049
381	0.1013781894
382	0.1012320629
383	0.1010696908
384	0.1008840634
385	0.100695312
386	0.1005844733
387	0.100488088
388	0.1003447179
389	0.1002676237
390	0.1000924802
391	0.1000057537
392	0.09988425092
393	0.09971948106
394	0.09962498442
395	0.09954640229
396	0.09942321824
397	0.09933099394
398	0.09911997517
399	0.09903143959
400	0.09888803776
401	0.09879164974
402	0.09870701883
403	0.09861263805
404	0.09836589066
405	0.09832049399
406	0.09824293019
407	0.09819870367
408	0.09818093942
409	0.09797346933
410	0.09795717017
411	0.09783897484
412	0.0976659938
413	0.09742097317
414	0.09735847547
415	0.09720940486
416	0.09710461747
417	0.09702122017
418	0.096902803
419	0.09674460843
420	0.09669941207
421	0.09657969625
422	0.09642950923
423	0.09635220413
424	0.09626612614
425	0.09613382053
426	0.09599708526
427	0.09589656219
428	0.09588210842
429	0.0957765951
430	0.09564982955
431	0.09555539455
432	0.09551242812
433	0.09540845576
434	0.09533662668
435	0.09528069768
436	0.09521970236
437	0.09519680962
438	0.09514157677
439	0.0949788556
440	0.09494326673
441	0.09482287303
442	0.09478399297
443	0.09470485128
444	0.09455256479
445	0.09441905238
446	0.09439785182
447	0.09435473342
448	0.09425962433
449	0.0941798659
450	0.09405748163
451	0.09404215937
452	0.09399425704
453	0.0939819115
454	0.09393221681
455	0.09380828264
456	0.0936911901
457	0.09357293298
458	0.09345970099
459	0.09334836508
460	0.09324436087
461	0.09310991739
462	0.09309552677
463	0.09296474265
464	0.092889615
465	0.09276032462
466	0.09264092734
467	0.09251836398
468	0.09234985352
469	0.09223397093
470	0.09208895807
471	0.09207079818
472	0.09200545094
473	0.09196168609
474	0.09190414321
475	0.09187142145
476	0.0917806342
477	0.09163532096
478	0.09154266453
479	0.09149901214
480	0.09148915543
481	0.09131236954
482	0.09125622913
483	0.0911100059
484	0.09101484449
485	0.09095109133
486	0.09085655137
487	0.09082234846
488	0.09070202378
489	0.09061206194
490	0.09047502417
491	0.09041589912
492	0.09037980068
493	0.09027331301
494	0.09017822809
495	0.09015637329
496	0.0900643013
497	0.08992926499
498	0.0898131065
499	0.08975575063
500	0.08963985725
501	0.08959801334
502	0.08951570935
503	0.08942671762
504	0.08930023534
505	0.08919127305
506	0.08909033053
507	0.08903086641
508	0.08895621688
509	0.08886252051
510	0.08879624636
511	0.08871942854
512	0.08870268248
513	0.08864821798
514	0.08853595914
515	0.08849205623
516	0.08837948134
517	0.08832637593
518	0.08819929789
519	0.08810953254
520	0.08799053679
521	0.08787882987
522	0.08781470886
523	0.08774088469
524	0.08769050666
525	0.0875668383
526	0.08746893623
527	0.08738520003
528	0.08726495294
529	0.08723755096
530	0.08717219115
531	0.08713105121
532	0.08702917608
533	0.08692135757
534	0.08681999995
535	0.08669607863
536	0.08664142402
537	0.08654740821
538	0.08647470816
539	0.08643787294
540	0.08638480414
541	0.0863082018
542	0.08622582087
543	0.08612610071
544	0.08606031872
545	0.08598194202
546	0.08586854174
547	0.08577457958
548	0.08568681761
549	0.08562960192
550	0.08553551801
551	0.08547969041
552	0.08533554247
553	0.08525167427
554	0.08512232748
555	0.08498621176
556	0.08491804799
557	0.08482549108
558	0.08476303087
559	0.08464429419
560	0.08457058776
561	0.08448941935
562	0.08443054098
563	0.08437605835
564	0.08430755426
565	0.08421359565
566	0.08411108175
567	0.08406567108
568	0.08402772319
569	0.08398559597
570	0.08391589632
571	0.08389638309
572	0.0838478584
573	0.08381490894
574	0.08376098895
575	0.08367977084
576	0.08356560224
577	0.08344950417
578	0.08332237668
579	0.08318586636
580	0.0831125622
581	0.08303519934
582	0.08292105741
583	0.082850337
584	0.08279071295
585	0.08272804758
586	0.08264146713
587	0.08260314043
588	0.0825837007
589	0.0825041091
590	0.08248038369
591	0.08246107832
592	0.08238653569
593	0.08230851695
594	0.08226840758
595	0.08224679945
596	0.08219428399
597	0.08212030548
598	0.08207789515
599	0.08200130901
600	0.08191703177
601	0.08184447477
602	0.08175255573
603	0.0817050946
604	0.08158667595
605	0.081508946
606	0.08148314241
607	0.0814340068
608	0.08137330572
609	0.0813111235
610	0.0812119903
611	0.08113612292
612	0.08105778327
613	0.0809944119
614	0.08092108464
615	0.08088552574
616	0.08082167227
617	0.08078359303
618	0.0807347829
619	0.08068516044
620	0.08055324012
621	0.080476531
622	0.08040687327
623	0.08032919944
624	0.08024756148
625	0.08022397228
626	0.08015810816
627	0.08009358586
628	0.0800379553
629	0.07998138852
630	0.07995381656
631	0.0798320978
632	0.0797257873
633	0.07966546503
634	0.07959591311
635	0.07956434739
636	0.07948471143
637	0.07937934445
638	0.07931964206
639	0.07928392899
640	0.07919679985
641	0.07909021224
642	0.07904130779
643	0.07899607169
644	0.07889460146
645	0.07886818083
646	0.07885867343
647	0.07878043118
648	0.07868891099
649	0.07861335932
650	0.07860020136
651	0.07855020229
652	0.07848385246
653	0.07840115171
654	0.07834729147
655	0.0782838161
656	0.07824173184
657	0.07813546593
658	0.07811529884
659	0.0781061128
660	0.07800530399
661	0.07794681213
662	0.0779182334
663	0.07781171967
664	0.07772960024
665	0.07768394168
666	0.07758465261
667	0.07753174624
668	0.0774329854
669	0.07735295882
670	0.07729714835
671	0.07723116812
672	0.07716584765
673	0.07709094763
674	0.07700200984
675	0.07689994055
676	0.07682728413
677	0.07673016545
678	0.07668258125
679	0.07656387678
680	0.07648361562
681	0.07640004748
682	0.07634415617
683	0.07626621699
684	0.0762188429
685	0.07615473425
686	0.07608417402
687	0.07603760902
688	0.07596316972
689	0.07590498647
690	0.07587241489
691	0.07582222527
692	0.07577551586
693	0.07571849553
694	0.07569311029
695	0.07565742788
696	0.07561614397
697	0.07556006678
698	0.075530378
699	0.07547536448
700	0.07536104398
701	0.07533176219
702	0.07526722043
703	0.07519259294
704	0.07511489132
705	0.07501490457
706	0.07496435992
707	0.07490388547
708	0.07487739169
709	0.07481619433
710	0.07476214278
711	0.07467672858
712	0.07462463523
713	0.07454776047
714	0.07450005066
715	0.07444428306
716	0.07439447118
717	0.07432441624
718	0.07422854526
719	0.07417124136
720	0.07412821826
721	0.07409398685
722	0.07402348126
723	0.07396092331
724	0.07388167032
725	0.0738146327
726	0.0737648405
727	0.07369143195
728	0.07363051984
729	0.0735454562
730	0.07349681901
731	0.07344486663
732	0.07333422588
733	0.0733183528
734	0.07321652869
735	0.07316145335
736	0.07309773691
737	0.07302340893
738	0.07292526264
739	0.07287880817
740	0.07283474224
741	0.072775567
742	0.07274888577
743	0.0726683393
744	0.07259773834
745	0.07256379557
746	0.07249020122
747	0.07244757591
748	0.07240563914
749	0.07232928592
750	0.07231124274
751	0.07228951814
752	0.07225047749
753	0.07221593575
754	0.07214719327
755	0.07209412621
756	0.07203362324
757	0.07200717717
758	0.07192085223
759	0.07186812333
760	0.07180359871
761	0.07170892746
762	0.07164513535
763	0.07160937216
764	0.07157111515
765	0.07154959118
766	0.0715068552
767	0.07138056155
768	0.07129764715
769	0.07126215916
770	0.07125485047
771	0.07117534319
772	0.07113202739
773	0.0710604082
774	0.07097487065
775	0.07093442324
776	0.07087255659
777	0.07080342274
778	0.07075419636
779	0.07069780709
780	0.07065620549
781	0.07055952569
782	0.07052552647
783	0.07043905096
784	0.07038254061
785	0.07030166458
786	0.07024928934
787	0.070191669
788	0.07016572364
789	0.07012942251
790	0.07002671357
791	0.07000985611
792	0.06993720354
793	0.06990550338
794	0.06987126722
795	0.06980586552
796	0.06974393562
797	0.06968782111
798	0.06961733623
799	0.06954475775
800	0.0695060797
801	0.06944763615
802	0.06940063264
803	0.06935588761
804	0.06930905955
805	0.06924061933
806	0.06918170611
807	0.06913482394
808	0.0690435997
809	0.0689883649
810	0.0689124275
811	0.06884788194
812	0.06880210544
813	0.06873591945
814	0.06868191029
815	0.06863980903
816	0.06858600507
817	0.06850626879
818	0.06844072845
819	0.06841464376
820	0.06836829575
821	0.06832587236
822	0.06831949028
823	0.06827382723
824	0.06816525341
825	0.06813879295
826	0.06805484731
827	0.067997602
828	0.06797839171
829	0.06792736862
830	0.06786270685
831	0.06778295257
832	0.06775178119
833	0.06768899226
834	0.06768307244
835	0.06766578406
836	0.06761555998
837	0.06758362943
838	0.06755215048
839	0.06749055651
840	0.06746961706
841	0.06739538747
842	0.06733099583
843	0.06731203031
844	0.06724636941
845	0.06719863806
846	0.06715259705
847	0.06709219253
848	0.06703677291
849	0.06698848717
850	0.06697268567
851	0.06692591209
852	0.0668479352
853	0.06683945417
854	0.06677000853
855	0.06670040097
856	0.06666011321
857	0.06660995585
858	0.06656775377
859	0.06656133516
860	0.06652842037
861	0.06647234221
862	0.06639229001
863	0.06636119017
864	0.0662824801
865	0.06626120308
866	0.06623071526
867	0.06620389375
868	0.06617617907
869	0.06613547979
870	0.06608447552
871	0.06602509045
872	0.06595628702
873	0.06593066994
874	0.06589151735
875	0.06585335277
876	0.06580886928
877	0.06575070994
878	0.06572140749
879	0.06566073221
880	0.06562364755
881	0.06557045581
882	0.06553420761
883	0.06550120282
884	0.06541592998
885	0.06536438144
886	0.06536089955
887	0.06533516007
888	0.06529685263
889	0.06525715453
890	0.06525174973
891	0.06518824038
892	0.06511278954
893	0.0650782992
894	0.06497931137
895	0.06495623622
896	0.06490540028
897	0.06485786548
898	0.06481155595
899	0.06476573921
900	0.06472963347
901	0.06467630177
902	0.06464883883
903	0.06459918632
904	0.06452160175
905	0.06446891893
906	0.06444956429
907	0.06437919902
908	0.0643203748
909	0.06425346321
910	0.06420288036
911	0.06416343108
912	0.06411721261
913	0.06406170147
914	0.06405214809
915	0.06396583709
916	0.06394697728
917	0.06391493001
918	0.06383899782
919	0.06378854745
920	0.06374950652
921	0.06371763654
922	0.06367610383
923	0.06364325283
924	0.0635945372
925	0.06354327964
926	0.06349188351
927	0.06346291989
928	0.06343368539
929	0.06343002135
930	0.06339910233
931	0.06337221483
932	0.06332084818
933	0.06330505734
934	0.0632841268
935	0.0632074559
936	0.06315738288
937	0.06310577379
938	0.06306120436
939	0.06297874012
940	0.06291769978
941	0.06284414603
942	0.06281030835
943	0.06276159173
944	0.06268875363
945	0.0626585963
946	0.06263703793
947	0.062578972
948	0.06252929689
949	0.06247185014
950	0.06242040504
951	0.06238733462
952	0.06232178404
953	0.06227168471
954	0.06222633958
955	0.06219253454
956	0.06216300271
957	0.06212261489
958	0.06212257923
959	0.06208996774
960	0.06204469761
961	0.06199682737
962	0.06193625279
963	0.06189464179
964	0.0618410216
965	0.06182695267
966	0.06177900691
967	0.06173239001
968	0.06167884185
969	0.06164198905
970	0.06159713077
971	0.06155618427
972	0.06152605008
973	0.06146574216
974	0.06145926546
975	0.06143224444
976	0.06137145079
977	0.06132787079
978	0.06128435402
979	0.06122605252
980	0.06119364656
981	0.06113561248
982	0.06110760419
983	0.06106831345
984	0.06100825555
985	0.06097820658
986	0.06094744055
987	0.06089952696
988	0.06089200809
989	0.06085691605
990	0.06079595182
991	0.06075596719
992	0.06072540673
993	0.06067594337
994	0.06062624385
995	0.06061183131
996	0.06056880061
997	0.06054980336
998	0.06050143906
999	0.06047612525
